indicador,data,valor
ibcbr,01/03/2020,95.26194
ibcbr,01/04/2020,83.69744
ibcbr,01/05/2020,84.23223
ibcbr,01/06/2020,88.85592
ibcbr,01/07/2020,95.4319
ibcbr,01/08/2020,94.94526
ibcbr,01/09/2020,95.78355
ibcbr,01/10/2020,97.82627
ibcbr,01/11/2020,96.62274
ibcbr,01/12/2020,97.5046
ibcbr,01/01/2021,91.88735
ibcbr,01/02/2021,94.05891
ibcbr,01/03/2021,101.08908
ibcbr,01/04/2021,97.40669
ibcbr,01/05/2021,96.00952
ibcbr,01/06/2021,96.46515
ibcbr,01/07/2021,99.84045
ibcbr,01/08/2021,99.18841
ibcbr,01/09/2021,97.10213
ibcbr,01/10/2021,96.53525
ibcbr,01/11/2021,97.85074
ibcbr,01/12/2021,99.31719
ibcbr,01/01/2022,91.68135
ibcbr,01/02/2022,95.63869
ibcbr,01/03/2022,104.52745
ibcbr,01/04/2022,100.23187
ibcbr,01/05/2022,99.74515
ibcbr,01/06/2022,99.31223
ibcbr,01/07/2022,103.96198
ibcbr,01/08/2022,104.51378
ibcbr,01/09/2022,101.18408
ibcbr,01/10/2022,100.08341
ibcbr,01/11/2022,99.15286
ibcbr,01/12/2022,99.96717
ibcbr,01/01/2023,95.09937
ibcbr,01/02/2023,98.65085
ibcbr,01/03/2023,110.61559
ibcbr,01/04/2023,104.04073
ibcbr,01/05/2023,102.717
ibcbr,01/06/2023,102.28027
ibcbr,01/07/2023,105.34385
ibcbr,01/08/2023,106.05901
ibcbr,01/09/2023,101.7557
ibcbr,01/10/2023,101.93319
ibcbr,01/11/2023,101.6828
ibcbr,01/12/2023,101.67956
ibcbr,01/01/2024,99.29643
ibcbr,01/02/2024,102.15218
ibcbr,01/03/2024,109.56614
ibcbr,01/04/2024,109.25735
ibcbr,01/05/2024,104.71633
ibcbr,01/06/2024,105.86827
ibcbr,01/07/2024,111.51398
ibcbr,01/08/2024,110.06739
ibcbr,01/09/2024,107.07989
ibcbr,01/10/2024,109.18606
ibcbr,01/11/2024,105.49283
ibcbr,01/12/2024,104.15728
ibcbr,01/01/2025,102.72562
ibcbr,01/02/2025,106.92536
ibcbr,01/03/2025,114.11525
ibcbr,01/04/2025,112.68553
ibcbr,01/05/2025,108.64623
ibcbr,01/06/2025,107.44774
ibcbr,01/07/2025,113.20976
ibcbr,01/08/2025,110.47021
ibcbr,01/09/2025,109.57121
ibcbr,01/10/2025,110.14581
ibcbr,01/11/2025,106.68216
ibcbr,01/12/2025,107.29284
ibcbr,01/01/2026,103.90389
ibcbr,01/02/2026,106.80338
ibcbr,01/03/2026,117.61851
pib,01/02/1990,0.4
pib,01/03/1990,0.8
pib,01/04/1990,0.7
pib,01/05/1990,0.8
pib,01/06/1990,0.8
pib,01/07/1990,0.9
pib,01/08/1990,1.0
pib,01/09/1990,1.1
pib,01/10/1990,1.4
pib,01/11/1990,1.7
pib,01/12/1990,1.8
pib,01/01/1991,2.1
pib,01/02/1991,2.4
pib,01/03/1991,2.5
pib,01/04/1991,3.1
pib,01/05/1991,3.6
pib,01/06/1991,4.1
pib,01/07/1991,4.6
pib,01/08/1991,5.3
pib,01/09/1991,5.6
pib,01/10/1991,7.5
pib,01/11/1991,9.2
pib,01/12/1991,10.5
pib,01/01/1992,13.1
pib,01/02/1992,16.3
pib,01/03/1992,19.6
pib,01/04/1992,23.6
pib,01/05/1992,30.1
pib,01/06/1992,37.5
pib,01/07/1992,46.1
pib,01/08/1992,56.7
pib,01/09/1992,70.8
pib,01/10/1992,89.0
pib,01/11/1992,110.4
pib,01/12/1992,127.7
pib,01/01/1993,164.0
pib,01/02/1993,206.9
pib,01/03/1993,294.6
pib,01/04/1993,368.1
pib,01/05/1993,481.6
pib,01/06/1993,613.5
pib,01/07/1993,841.4
pib,01/08/1993,1149.5
pib,01/09/1993,1578.4
pib,01/10/1993,2071.3
pib,01/11/1993,2792.8
pib,01/12/1993,3534.9
pib,01/01/1994,4562.8
pib,01/02/1994,5793.0
pib,01/03/1994,8520.4
pib,01/04/1994,12828.8
pib,01/05/1994,20504.2
pib,01/06/1994,33126.6
pib,01/07/1994,40788.0
pib,01/08/1994,43873.4
pib,01/09/1994,43836.2
pib,01/10/1994,45234.9
pib,01/11/1994,45926.2
pib,01/12/1994,44210.2
pib,01/01/1995,47028.6
pib,01/02/1995,49954.5
pib,01/03/1995,60024.3
pib,01/04/1995,57789.5
pib,01/05/1995,56350.5
pib,01/06/1995,56726.2
pib,01/07/1995,58788.1
pib,01/08/1995,60950.3
pib,01/09/1995,60610.8
pib,01/10/1995,63428.1
pib,01/11/1995,67762.9
pib,01/12/1995,66577.7
pib,01/01/1996,64133.3
pib,01/02/1996,62202.2
pib,01/03/1996,62987.8
pib,01/04/1996,64019.1
pib,01/05/1996,69488.7
pib,01/06/1996,71103.0
pib,01/07/1996,74969.9
pib,01/08/1996,74798.8
pib,01/09/1996,71744.6
pib,01/10/1996,77200.1
pib,01/11/1996,80449.1
pib,01/12/1996,81667.1
pib,01/01/1997,77582.6
pib,01/02/1997,71072.8
pib,01/03/1997,70461.6
pib,01/04/1997,73576.4
pib,01/05/1997,78110.8
pib,01/06/1997,81202.4
pib,01/07/1997,82058.7
pib,01/08/1997,82132.5
pib,01/09/1997,81987.3
pib,01/10/1997,87297.2
pib,01/11/1997,85390.1
pib,01/12/1997,81216.8
pib,01/01/1998,79363.9
pib,01/02/1998,75828.1
pib,01/03/1998,80508.7
pib,01/04/1998,81166.1
pib,01/05/1998,85207.5
pib,01/06/1998,85562.4
pib,01/07/1998,86938.5
pib,01/08/1998,86371.3
pib,01/09/1998,84733.5
pib,01/10/1998,87302.8
pib,01/11/1998,86316.5
pib,01/12/1998,83051.8
pib,01/01/1999,80936.3
pib,01/02/1999,80929.1
pib,01/03/1999,88802.6
pib,01/04/1999,87739.0
pib,01/05/1999,89223.0
pib,01/06/1999,91746.9
pib,01/07/1999,91230.4
pib,01/08/1999,92283.4
pib,01/09/1999,90611.8
pib,01/10/1999,95872.4
pib,01/11/1999,99563.1
pib,01/12/1999,98772.5
pib,01/01/2000,92576.6
pib,01/02/2000,91770.4
pib,01/03/2000,92579.9
pib,01/04/2000,91376.2
pib,01/05/2000,98727.0
pib,01/06/2000,102685.4
pib,01/07/2000,103410.4
pib,01/08/2000,105177.8
pib,01/09/2000,100307.6
pib,01/10/2000,106951.1
pib,01/11/2000,107678.0
pib,01/12/2000,105851.6
pib,01/01/2001,102530.7
pib,01/02/2001,101635.3
pib,01/03/2001,108303.8
pib,01/04/2001,107572.0
pib,01/05/2001,111202.2
pib,01/06/2001,104949.4
pib,01/07/2001,110758.9
pib,01/08/2001,113064.7
pib,01/09/2001,108700.8
pib,01/10/2001,116139.0
pib,01/11/2001,117882.0
pib,01/12/2001,113016.7
pib,01/01/2002,112374.8
pib,01/02/2002,111477.1
pib,01/03/2002,118444.7
pib,01/04/2002,120385.9
pib,01/05/2002,123552.5
pib,01/06/2002,123424.4
pib,01/07/2002,126856.6
pib,01/08/2002,127800.1
pib,01/09/2002,125137.8
pib,01/10/2002,133125.4
pib,01/11/2002,135966.6
pib,01/12/2002,130241.2
pib,01/01/2003,125713.7
pib,01/02/2003,131377.7
pib,01/03/2003,140150.3
pib,01/04/2003,141001.3
pib,01/05/2003,140056.9
pib,01/06/2003,137929.2
pib,01/07/2003,144627.1
pib,01/08/2003,144366.4
pib,01/09/2003,150356.3
pib,01/10/2003,158347.6
pib,01/11/2003,154764.9
pib,01/12/2003,149259.1
pib,01/01/2004,142455.0
pib,01/02/2004,141654.6
pib,01/03/2004,160673.9
pib,01/04/2004,159113.9
pib,01/05/2004,160112.1
pib,01/06/2004,162569.0
pib,01/07/2004,168216.4
pib,01/08/2004,168068.5
pib,01/09/2004,168967.4
pib,01/10/2004,174390.5
pib,01/11/2004,178012.0
pib,01/12/2004,173518.0
pib,01/01/2005,161646.6
pib,01/02/2005,159966.7
pib,01/03/2005,178097.1
pib,01/04/2005,177918.1
pib,01/05/2005,178129.5
pib,01/06/2005,179509.8
pib,01/07/2005,181673.2
pib,01/08/2005,186712.8
pib,01/09/2005,184473.1
pib,01/10/2005,192948.3
pib,01/11/2005,196419.8
pib,01/12/2005,193089.5
pib,01/01/2006,181707.7
pib,01/02/2006,176988.5
pib,01/03/2006,195574.3
pib,01/04/2006,188585.8
pib,01/05/2006,198731.5
pib,01/06/2006,194659.5
pib,01/07/2006,203488.6
pib,01/08/2006,208799.8
pib,01/09/2006,205559.3
pib,01/10/2006,219035.0
pib,01/11/2006,220981.6
pib,01/12/2006,215338.3
pib,01/01/2007,206662.3
pib,01/02/2007,201552.1
pib,01/03/2007,223208.6
pib,01/04/2007,218931.2
pib,01/05/2007,227535.3
pib,01/06/2007,224188.2
pib,01/07/2007,230916.4
pib,01/08/2007,233905.1
pib,01/09/2007,227024.4
